name,date,country,genre,rating,rating_count,kind,link,subscription,audio,subtitles,description
Зёма,2017–2021,Россия,"комедия, драма",7.8,47233,serial,https://www.kinopoisk.ru/film/1354943/,По подписке Плюс,0,0,0
Несколько хороших парней,1992,США,"триллер, драма",7.8,28038,film,https://www.kinopoisk.ru/film/1588/,По подписке Плюс,0,0,0
Неприкасаемые,1987,США,"триллер, драма",7.8,37105,film,https://www.kinopoisk.ru/film/533/,online,0,0,0
Мечта Робина,2020,США,"документальный, биография",7.8,188,film,https://www.kinopoisk.ru/film/1398862/,online,0,0,0
Остров,1973,СССР,"мультфильм, короткометражка",7.8,2597,film,https://www.kinopoisk.ru/film/42822/,По подписке Плюс,0,0,0
Плезантвиль,1998,США,"фэнтези, драма",7.8,53716,film,https://www.kinopoisk.ru/film/2987/,online,0,0,0
Донни Браско,1997,США,"драма, криминал",7.8,52247,film,https://www.kinopoisk.ru/film/3984/,online,0,0,0
Дежавю,2006,"США, Великобритания","фантастика, боевик",7.8,134837,film,https://www.kinopoisk.ru/film/102328/,online,0,0,0
Крейсер «Варяг»,1946,СССР,"драма, военный",7.8,1231,film,https://www.kinopoisk.ru/film/44971/,По подписке Плюс,0,0,0
Халиф-аист,1981,СССР,"мультфильм, детский",7.8,6105,film,https://www.kinopoisk.ru/film/304143/,По подписке Плюс,0,0,0
Легенда об Искателе,2008–2010,"США, Новая Зеландия","фэнтези, боевик",7.8,20857,serial,https://www.kinopoisk.ru/film/414964/,online,0,0,0
Аризонская мечта,1991,"Франция, США","фэнтези, драма",7.8,30631,film,https://www.kinopoisk.ru/film/11064/,По подписке Плюс,0,0,0
Всегда говори `ДА`,2008,"США, Великобритания",комедия,7.8,266497,film,https://www.kinopoisk.ru/film/391772/,online,0,0,0
Блокада,2005,Россия,документальный,7.8,2304,film,https://www.kinopoisk.ru/film/274766/,По подписке Плюс,0,0,0
Чунгкингский экспресс,1994,Гонконг,"драма, мелодрама",7.8,18757,film,https://www.kinopoisk.ru/film/22819/,По подписке Плюс,0,0,0
Аватар короля,2017–2020,Китай,"мультфильм, фантастика",7.8,14210,serial,https://www.kinopoisk.ru/film/1046252/,По подписке Плюс,0,0,0
Кот Котофеевич,1981,СССР,"мультфильм, детский",7.8,2139,film,https://www.kinopoisk.ru/film/474771/,По подписке Плюс,0,0,0
Большие неприятности,1961,СССР,"мультфильм, комедия",7.8,572,film,https://www.kinopoisk.ru/film/46179/,По подписке Плюс,0,0,0
"Кот, который гулял сам по себе",1968,СССР,"мультфильм, детский",7.8,7643,film,https://www.kinopoisk.ru/film/257986/,По подписке Плюс,0,0,0
Последнее королевство,2015–,Великобритания,"боевик, драма",7.8,25699,serial,https://www.kinopoisk.ru/film/863829/,online,0,0,0
Виноваты звезды,2014,США,"драма, мелодрама",7.8,141235,film,https://www.kinopoisk.ru/film/724703/,По подписке Плюс,0,0,0
Граница: Таежный роман,2000,Россия,"драма, мелодрама",7.8,30666,film,https://www.kinopoisk.ru/film/84793/,По подписке Плюс,0,0,0
Первобытный страх,1996,США,"триллер, драма",7.8,63905,film,https://www.kinopoisk.ru/film/2962/,По подписке Плюс,0,0,0
Враг государства,1998,США,"боевик, триллер",7.8,77293,film,https://www.kinopoisk.ru/film/3954/,online,0,0,0
Тайна Келлс,2008,"Ирландия, Бельгия","мультфильм, фэнтези",7.8,25394,film,https://www.kinopoisk.ru/film/194033/,По подписке Плюс,0,0,0
Таинственная река,2003,"США, Австралия","триллер, драма",7.8,109533,film,https://www.kinopoisk.ru/film/3730/,По подписке Плюс,0,0,0
Горбун из Нотр Дама,1996,"США, Франция","мультфильм, мюзикл",7.8,28945,film,https://www.kinopoisk.ru/film/2421/,online,0,0,0
Дети свинга,1993,США,"драма, музыка",7.8,3681,film,https://www.kinopoisk.ru/film/1939/,online,0,0,0
У зеркала два лица,1996,США,"драма, мелодрама",7.8,12406,film,https://www.kinopoisk.ru/film/5152/,По подписке Плюс,0,0,0
Lil Peep: всё для всех,2019,США,"документальный, музыка",7.8,15093,film,https://www.kinopoisk.ru/film/1263292/,По подписке Плюс,0,0,0
Хорошая борьба,2017–,США,"драма, криминал",7.8,5099,serial,https://www.kinopoisk.ru/film/1006633/,По подписке Плюс Мульти с Амедиатекой,0,0,0
Хоббит: Битва пяти воинств,2014,"Новая Зеландия, США","фэнтези, приключения",7.8,276776,film,https://www.kinopoisk.ru/film/694633/,По подписке Плюс,0,0,0
Жестокий Стамбул,2019–2020,Турция,драма,7.8,4723,serial,https://www.kinopoisk.ru/film/1245958/,По подписке Плюс с more.tv,0,0,0
Джейн Фонда: Жизнь в пяти актах,2018,США,документальный,7.8,273,film,https://www.kinopoisk.ru/film/1142511/,По подписке Плюс Мульти с Амедиатекой,0,0,0
Рэй Донован,2013–2020,США,"драма, криминал",7.8,12121,serial,https://www.kinopoisk.ru/film/667871/,По подписке Плюс Мульти с Амедиатекой,0,0,0
